OBJECTID,NAME,ADDRESS,POD_ID,long,lat,block,commercial area
1,Ross Plaza,2320 W Pierson Rd,P1,-83.73102572,43.06197163,block8,47745.73438
2,Saint Mark Missionary Baptist Church,3020 Dupont St,P2,-83.71323627,43.04364602,block34,4688.421875
3,Mt Calvary Church,4805 N Saginaw St,P3,-83.69461412,43.05848906,block20,25982.65234
4,Franklin Avenue Lot,2804 N Franklin Ave,P4,-83.66512512,43.04093918,block75,71235.43359
5,Old Flint Farmer's Market,420 E Boulevard Dr,P5,-83.68512532,43.02529568,block80,66454.08984
6,West Court Street Church of God,2920 W Court St,P6,-83.72801691,43.00751371,block58,46113.97656
7,Dort Federal Credit Union Event Center,3501 Lapeer Rd,P7,-83.64159119,43.01076404,block98,1329948.332
8,Lincoln Park United Methodist Church,3410 Fenton Rd,P8,-83.69370984,42.99116037,block130,50143.25391
9,Eastown Bowl Bowling Alley,3001 S Dort Hwy,P9,-83.65288791,42.99543727,block106,261337.1602
